"Role","Question","Answer","Difficulty","Company"
"Backend Engineer","What is the N+1 query problem and how do you solve it?","The N+1 query problem occurs when an application makes N additional database queries to fetch related data for a list of N items, on top of the initial query. This is highly inefficient. It can be solved by using eager loading (e.g., JOINs in SQL or specific ORM features like 'select_related' in Django or 'include' in Rails) to fetch all required data in a single, more complex query.","Medium","Netflix"
"Backend Engineer","Explain the CAP theorem from first principles.","The CAP theorem states that a distributed data store cannot simultaneously provide more than two out of three guarantees: Consistency (every read receives the most recent write or an error), Availability (every request receives a non-error response, without guarantee that it contains the most recent write), and Partition Tolerance (the system continues to operate despite an arbitrary number of messages being dropped or delayed by the network between nodes). Since network partitions are a given in distributed systems, you must choose between consistency and availability.","Hard","Google"
"Backend Engineer","How would you design a URL shortening service like TinyURL?","The core is a key-value store mapping a unique short key to a long URL. When a user provides a long URL, the system generates a unique, short alphanumeric key (e.g., using a base-62 encoding of a counter or a hash function with collision checks). This key-URL pair is stored in a database. When a user accesses the short URL, the service does a lookup on the key, retrieves the long URL, and issues an HTTP 301 redirect.","Medium","Amazon"
"Backend Engineer","What are the differences between REST and GraphQL?","REST (Representational State Transfer) is an architectural style that uses a set of constraints for creating web services, often over HTTP, with predefined endpoints for each resource. GraphQL is a query language for APIs where the client specifies exactly what data it needs, which can prevent over-fetching and under-fetching of data common in REST. REST uses multiple endpoints, while GraphQL typically uses a single endpoint.","Medium","Shopify"
"Backend Engineer","Explain database indexing at a fundamental level. Why does it improve performance?","An index is a data structure (commonly a B-Tree) that improves the speed of data retrieval operations on a database table at the cost of additional writes and storage space. It works like an index in a book; instead of scanning every page (a full table scan), the database can look up the data's location in the index and go directly to it. This reduces the number of disk I/O operations, which are typically the slowest part of a query.","Easy","Stripe"
"Backend Engineer","What is the difference between authentication and authorization?","Authentication is the process of verifying who a user is, typically by checking credentials like a username and password or a token. Authorization is the process of verifying what a specific user has permission to do after they have been successfully authenticated. For example, an admin user is authorized to access administrative dashboards, while a regular user is not.","Easy","Microsoft"
"Backend Engineer","Describe a microservices architecture. What are its pros and cons?","A microservices architecture structures an application as a collection of loosely coupled, independently deployable services. Pros include improved scalability, fault isolation (one service failing doesn't take down the whole app), and technology diversity. Cons include increased operational complexity, challenges with data consistency across services, and the need for robust service discovery and inter-service communication mechanisms.","Medium","Uber"
"Backend Engineer","How can you prevent SQL injection attacks?","The most effective way to prevent SQL injection is to use prepared statements (also known as parameterized queries). This approach separates the SQL code from the user-provided data, ensuring that the input is always treated as data and never as executable code. Other methods include input validation and using Object-Relational Mapping (ORM) libraries that handle this automatically.","Medium","Meta"
"Backend Engineer","What is caching and what are some common caching strategies?","Caching is the process of storing copies of files or data in a temporary storage location (a cache) so that they can be accessed more quickly. Common strategies include cache-aside (application checks the cache first, then the database), read-through (cache retrieves data from the database on a miss), and write-through (data is written to both cache and database simultaneously for consistency).","Medium","Airbnb"
"Backend Engineer","Explain ACID properties in the context of database transactions.","ACID is an acronym for Atomicity, Consistency, Isolation, and Durability. Atomicity ensures that all operations within a transaction are completed successfully or not at all. Consistency guarantees that a transaction brings the database from one valid state to another. Isolation ensures that concurrent transactions do not interfere with each other. Durability guarantees that once a transaction has been committed, it will remain so, even in the event of power loss or system crashes.","Medium","Amazon"
"Backend Engineer","What is the difference between a process and a thread?","A process is an instance of a computer program being executed, with its own memory space. A thread is the smallest unit of execution within a process; multiple threads can exist within a single process and share its memory space (like code and data segments). This shared memory makes inter-thread communication faster than inter-process communication but requires careful synchronization to avoid race conditions.","Easy","Microsoft"
"Backend Engineer","How does OAuth 2.0 work?","OAuth 2.0 is an authorization framework that enables applications to obtain limited access to user accounts on an HTTP service. It involves four roles: Resource Owner (the user), Client (the application), Authorization Server, and Resource Server. The client requests authorization from the user, receives an authorization grant, and exchanges it for an access token from the Authorization Server, which is then used to access protected resources on the Resource Server.","Hard","Google"
"Backend Engineer","What are optimistic and pessimistic locking in databases?","Pessimistic locking assumes that conflicts are likely and locks the data record for the duration of a transaction, preventing other transactions from accessing it until the lock is released. Optimistic locking assumes conflicts are rare; it doesn't lock the data but checks for conflicts (e.g., using a version number) before committing the transaction. If a conflict is detected, the transaction is rolled back.","Hard","Stripe"
"Backend Engineer","Describe how you would design a system to handle millions of concurrent users.","Designing for high concurrency involves several key principles: horizontal scaling (adding more machines), load balancing to distribute traffic, using stateless application servers to simplify scaling, employing caching at multiple levels (CDN, in-memory caches like Redis), and using asynchronous processing with message queues (like RabbitMQ or Kafka) for long-running tasks. The database also needs to be scalable, often through sharding or using a distributed database like Cassandra.","Hard","Netflix"
"Backend Engineer","What is connection pooling and why is it important?","Connection pooling is the practice of creating and maintaining a cache of database connections that can be reused by an application. Establishing a new database connection is a resource-intensive and slow operation. By reusing existing connections from a pool, the application avoids this overhead, leading to significant performance improvements, especially for applications that frequently interact with a database.","Medium","Shopify"
"Backend Engineer","Explain Eventual Consistency.","Eventual consistency is a consistency model used in distributed systems that guarantees that, if no new updates are made to a given data item, all accesses to that item will eventually return the last updated value. It's a key characteristic of many NoSQL databases (like Cassandra and DynamoDB) and prioritizes availability and partition tolerance over immediate consistency. Replicas may be temporarily out of sync.","Medium","Amazon"
"Backend Engineer","What is the purpose of a reverse proxy?","A reverse proxy is a server that sits in front of one or more web servers, intercepting requests from clients. It can provide several benefits, including load balancing traffic among multiple backend servers, caching static content to reduce load, handling SSL termination to offload encryption tasks, and providing an additional layer of security by hiding the identity of the backend servers.","Easy","Uber"
"Backend Engineer","Differentiate between NoSQL and SQL databases.","SQL databases are relational (data stored in tables with predefined schemas) and typically vertically scalable. NoSQL databases are non-relational, have dynamic schemas (or are schema-less), and are typically horizontally scalable. SQL databases are often better for complex queries and transactional applications requiring ACID compliance, while NoSQL databases excel at handling large volumes of unstructured or semi-structured data with high velocity.","Easy","Spotify"
"Backend Engineer","What are WebSockets and how are they different from HTTP?","WebSockets provide a full-duplex communication channel over a single, long-lived TCP connection, allowing for real-time, bidirectional communication between the client and server. HTTP, by contrast, is a request-response protocol where the client must initiate every request. WebSockets are ideal for applications requiring low-latency updates, like chat apps or live sports tickers, as they eliminate the overhead of repeated HTTP handshakes.","Medium","Meta"
"Backend Engineer","Explain database sharding.","Database sharding is a type of horizontal scaling where a large database is partitioned into smaller, faster, more manageable parts called shards. Each shard is a separate database instance and holds a portion of the total data. This allows the database to scale out across multiple machines, distributing the load and improving performance for very large datasets.","Hard","Google"
"Backend Engineer","What is idempotency in the context of an API?","An idempotent API operation is one that can be called multiple times with the same input parameters and produce the same result, without any unintended side effects. For example, a `DELETE /resource/123` call is idempotent because calling it once deletes the resource, and subsequent calls will still result in the resource being deleted (or not found), which is the same state. This is important for building reliable systems that can retry failed requests safely.","Medium","Stripe"
"Backend Engineer","What is a Content Delivery Network (CDN)?","A CDN is a geographically distributed network of proxy servers and their data centers. The goal is to provide high availability and performance by distributing the service spatially relative to end-users. A CDN caches content like images, videos, and CSS files in locations closer to the users, reducing latency and load on the origin server.","Easy","Netflix"
"Backend Engineer","Explain the concept of a message queue.","A message queue is a form of asynchronous service-to-service communication used in serverless and microservices architectures. Messages are stored on the queue until they are processed and deleted. This decouples the producer and consumer of the message, allowing them to operate independently, which improves reliability and scalability. Examples include RabbitMQ, SQS, and Kafka.","Medium","Uber"
"Backend Engineer","How would you handle API versioning?","There are several common strategies for API versioning. You can include the version number in the URL path (e.g., `/api/v1/users`), as a query parameter (e.g., `/api/users?version=1`), or in a custom request header (e.g., `Accept: application/vnd.myapi.v1+json`). URL path versioning is the most common and explicit approach, making it easy for clients to understand which version they are using.","Medium","Shopify"
"Backend Engineer","What is the difference between stateless and stateful applications?","A stateless application does not save any client data on the server between requests; each request is treated as an independent transaction. A stateful application remembers client data (state) from one request to the next. Stateless architectures are generally easier to scale horizontally because any server can handle any request, simplifying load balancing.","Easy","Airbnb"
"Backend Engineer","What is a distributed transaction?","A distributed transaction is a transaction that updates data on two or more separate, networked computer systems (e.g., multiple databases or microservices). Ensuring ACID properties for distributed transactions is complex and typically requires a two-phase commit (2PC) protocol, which involves a coordinator managing the transaction across all participating systems. This complexity is a major reason to avoid distributed transactions when possible in microservices.","Hard","Amazon"
"Backend Engineer","Explain what a deadlock is and how to prevent it.","A deadlock is a situation where two or more transactions are waiting for each other to release locks, creating a circular dependency and causing all of them to be stuck indefinitely. Deadlocks can be prevented by acquiring locks in a consistent, predefined order, using timeouts for lock acquisition, or by employing deadlock detection algorithms within the database management system, which can then abort one of the deadlocked transactions.","Medium","Microsoft"
"Backend Engineer","What is a Bloom filter?","A Bloom filter is a space-efficient probabilistic data structure used to test whether an element is a member of a set. It can produce false positive matches (i.e., it might say an element is in the set when it's not) but it will never produce false negatives (if it says an element is not in the set, it is definitively not). This makes it useful for checking for the existence of an item before performing a more expensive operation, like a database query.","Hard","Google"
"Backend Engineer","What is the purpose of rate limiting in an API?","Rate limiting is used to control the number of requests a user or client can make to an API within a specific time frame. Its purposes are to prevent abuse or denial-of-service (DoS) attacks, ensure fair usage for all clients, and manage the load on the backend infrastructure to maintain service stability and availability.","Medium","Stripe"
"Backend Engineer","Describe the difference between normalization and denormalization in database design.","Normalization is the process of organizing columns and tables in a relational database to minimize data redundancy. It involves dividing larger tables into smaller, well-structured tables and defining relationships between them. Denormalization is the opposite process, where redundant data is intentionally added to one or more tables to optimize read performance by avoiding costly joins.","Medium","Spotify"
"Backend Engineer","What are some security concerns for a public-facing API?","Key security concerns include: lack of proper authentication and authorization (broken object level authorization), SQL injection, Cross-Site Scripting (XSS), insecure direct object references (IDOR), and lack of rate limiting which can lead to DoS attacks. It's crucial to validate all input, enforce strong authentication, use HTTPS, and implement robust authorization checks.","Hard","Meta"
"Backend Engineer","How does a garbage collector work in a language like Java or Python?","A garbage collector is a form of automatic memory management that attempts to reclaim memory occupied by objects that are no longer in use by the program. A common approach is 'mark-and-sweep', where the GC first marks all objects that are reachable from the program's root set (e.g., global variables, stack frames), and then sweeps through memory, freeing any unmarked (unreachable) objects.","Medium","Microsoft"
"Backend Engineer","Explain the concept of Infrastructure as Code (IaC).","Infrastructure as Code is the practice of managing and provisioning computing infrastructure (like networks, virtual machines, and load balancers) through machine-readable definition files, rather than physical hardware configuration or interactive configuration tools. Tools like Terraform or AWS CloudFormation allow you to define your infrastructure in code, which enables versioning, reusability, and automated, repeatable deployments.","Medium","Amazon"
"Backend Engineer","What is the single responsibility principle?","The Single Responsibility Principle (SRP) is one of the SOLID principles of object-oriented design. It states that a class or module should have one, and only one, reason to change, meaning it should have only one job or responsibility. Adhering to SRP makes code easier to understand, maintain, and test because components are focused and less coupled.","Easy","Shopify"
